#{"t_start": 1659509333.5319371, "env_id": null}
r,l,t,fractional_success
-1.144811,834,22.950778,0.0
-0.409044,834,34.84735,0.0
-0.595193,834,46.72173,0.0
-0.627087,834,57.968146,0.0
-0.715463,834,69.233558,0.0
-0.481875,834,80.928056,0.0
-1.031873,834,93.762121,0.0
-0.860635,834,109.763857,0.0
-0.340704,834,121.772424,0.0
-0.532879,834,133.692513,0.0
-0.479794,834,145.351998,0.0
-0.911702,834,157.815407,0.0
1.257011,834,170.190873,0.0
-0.599765,834,182.54341,0.0
-0.711913,834,198.548578,0.0
