#{"t_start": 1659709132.5341625, "env_id": null}
r,l,t,fractional_success
0.858458,834,35.864774,0.0
9.189094,834,45.185015,0.9993724625179975
9.476165,834,55.70344,0.0
5.412696,834,66.022702,0.0
4.887011,834,77.139132,0.0
0.598125,834,88.622125,0.0
2.161586,834,100.199208,0.0
1.531339,834,110.920344,0.0
7.489645,834,121.375742,0.5142095300444568
5.981353,834,131.550555,0.0
5.179157,834,141.723846,0.0
8.338198,834,152.001186,0.6289816397746661
3.375255,834,162.281453,0.0
11.5684,834,172.452842,0.9992388878975321
1.116189,834,182.577361,0.0
11.505702,834,192.563247,0.9988737815535701
4.511642,834,202.675119,0.0
1.805983,834,212.784011,0.0
2.041313,834,222.892905,0.0
1.436434,834,233.05216,0.0
6.098677,834,243.270423,0.0
1.989579,834,253.36876,0.0
2.442419,834,263.43078,0.0
2.900026,834,273.602172,0.0
2.058139,834,283.939617,0.0
1.655382,834,294.307182,0.0
1.858322,834,304.775432,0.0
1.29786,834,314.979294,0.0
1.449135,834,325.604879,0.0
1.430046,834,336.0733,0.0
1.441623,834,346.32281,0.0
1.694259,834,357.321053,0.0
1.456112,834,369.186227,0.0
0.801151,834,380.508471,0.0
1.856088,834,391.910928,0.0
1.810916,834,403.126783,0.0
2.235128,834,414.369572,0.0
2.414997,834,426.374194,0.0
2.170159,834,439.044886,0.0
0.656851,834,450.877492,0.0
1.437419,834,462.631503,0.0
1.950418,834,473.425817,0.0
2.839681,834,484.748369,0.0
1.653743,834,495.91684,0.0
2.293515,834,506.845368,0.0
1.646713,834,518.475207,0.0
1.40757,834,530.304652,0.0
