r,l,t,fractional_success

0.590604,834,4.596319,0.0

-0.601979,834,15.658601,0.0

6.86957,834,27.857341,0.9993724625223454

9.540158,834,38.191303,0.9993617401909775

9.12381,834,49.283773,0.9992723867730284

2.675776,834,60.060258,0.0

2.71034,834,70.977741,0.0

7.088145,834,81.339799,0.0

5.714339,834,91.011212,0.0

1.630921,834,100.81178,0.0

2.109931,834,110.564607,0.0

2.178973,834,120.376638,0.0

1.636876,834,130.126489,0.0

6.599702,834,139.853518,0.0

11.073291,834,149.22807,0.9993600513319141

9.94078,834,158.750154,0.42432402686785253

7.708872,834,168.336407,0.0

5.527963,834,177.835952,0.0

10.951218,834,187.50181,0.0

1.491214,834,197.247357,0.0

5.232982,834,206.975358,0.0

3.575216,834,216.8307,0.0

1.257986,834,227.068102,0.0

1.816311,834,236.896343,0.0

1.587931,834,246.748693,0.0

1.714992,834,256.442607,0.0

2.136007,834,266.186323,0.0

2.97547,834,276.445118,0.0

-0.096722,834,287.161845,0.0

1.646062,834,297.597687,0.0

1.563967,834,307.571025,0.0

1.870572,834,318.349923,0.0

0.763713,834,329.805506,0.0

2.181742,834,341.065667,0.0

1.997595,834,351.649811,0.0

2.20223,834,362.304623,0.0

1.900649,834,373.507178,0.0

2.090645,834,384.855587,0.0

2.14729,834,396.120883,0.0

2.614794,834,407.184695,0.0

1.079046,834,418.099043,0.0

1.263699,834,428.691109,0.0

1.390762,834,438.873229,0.0

1.66434,834,449.584039,0.0

1.368236,834,460.791416,0.0

1.441343,834,471.100185,0.0

1.220784,834,481.243507,0.0

2.036875,834,491.517723,0.0

1.69236,834,502.625777,0.0

2.525994,834,512.65906,0.0

1.863549,834,523.048607,0.0

1.778676,834,532.92314,0.0

1.875174,834,543.724291,0.0

2.212829,834,554.177689,0.0

1.959427,834,564.22391,0.0

1.748915,834,574.461956,0.0

0.344929,834,584.582382,0.0

1.395498,834,594.665167,0.0

1.711537,834,604.821575,0.0

4.172167,834,615.205878,0.0

2.727722,834,625.869349,0.0

1.209261,834,636.270766,0.0

2.840368,834,646.736404,0.0

1.967213,834,657.589063,0.0

1.787175,834,668.203388,0.0

2.431563,834,678.724608,0.0

1.519664,834,688.962281,0.0

1.860105,834,699.06122,0.0

2.196452,834,709.502502,0.0

6.718683,834,719.705264,0.0

3.459684,834,729.992749,0.0

1.84662,834,740.456893,0.0

2.212515,834,750.764887,0.0

1.494602,834,761.094419,0.0

2.038939,834,772.135111,0.0

1.95896,834,784.659269,0.0

2.118244,834,797.36438,0.0

1.979123,834,809.888883,0.0

2.253748,834,820.890408,0.0

1.083981,834,831.648699,0.0

2.058353,834,843.069969,0.0

2.203817,834,853.997781,0.0

1.971857,834,864.714766,0.0

1.922172,834,877.049772,0.0

2.234074,834,888.920489,0.0

1.581221,834,900.531909,0.0

1.937043,834,911.791065,0.0

2.33966,834,922.807843,0.0

2.098441,834,933.909538,0.0

1.937553,834,944.982235,0.0

1.638557,834,955.84783,0.0

1.641929,834,966.917062,0.0

1.761591,834,977.698744,0.0

1.928418,834,988.545448,0.0

1.616763,834,999.219827,0.0

2.810803,834,1009.809918,0.0

1.050405,834,1020.491073,0.0

1.855442,834,1031.101528,0.0

0.942867,834,1041.833177,0.0

1.862107,834,1053.237099,0.0

2.247342,834,1064.454159,0.0

2.798563,834,1075.497867,0.0

1.894037,834,1086.192141,0.0

1.876149,834,1096.906901,0.0

1.746142,834,1107.928828,0.0

1.552634,834,1118.735606,0.0

2.436886,834,1129.504278,0.0

1.817024,834,1140.213332,0.0

1.921873,834,1151.191704,0.0

1.477883,834,1162.120335,0.0

2.097577,834,1173.901323,0.0

1.780169,834,1184.712546,0.0

1.689676,834,1195.668516,0.0

1.257642,834,1206.80359,0.0

1.860721,834,1217.931895,0.0

1.441861,834,1228.904224,0.0

1.876151,834,1240.163733,0.0

2.43439,834,1251.060893,0.0

0.553245,834,1261.923519,0.0

1.727023,834,1272.911622,0.0

2.054357,834,1284.171699,0.0

2.051223,834,1294.985857,0.0

1.67144,834,1306.019207,0.0

0.907408,834,1317.307686,0.0

1.961308,834,1328.148731,0.0

2.144463,834,1339.008605,0.0

2.085055,834,1350.46824,0.0

1.814481,834,1362.529713,0.0

2.209404,834,1374.51798,0.0

1.962744,834,1385.781083,0.0

2.792466,834,1396.767565,0.0

2.125394,834,1407.859035,0.0

1.724432,834,1418.946507,0.0

2.060411,834,1429.800992,0.0

1.583732,834,1440.595474,0.0

2.270519,834,1451.455961,0.0

2.280539,834,1462.25845,0.0

2.154369,834,1473.133927,0.0

1.966673,834,1484.046409,0.0

2.137607,834,1494.89489,0.0

2.528188,834,1505.751373,0.0

1.197546,834,1516.801851,0.0

2.068622,834,1527.690329,0.0

2.026567,834,1538.510827,0.0

2.745737,834,1549.370296,0.0

1.721363,834,1561.044871,0.0

1.836506,834,1573.065024,0.0

1.533906,834,1583.97803,0.0

2.805412,834,1595.195496,0.0

2.114867,834,1605.991985,0.0

1.271404,834,1616.921468,0.0

1.927179,834,1627.658953,0.0

1.709881,834,1638.39644,0.0

2.076133,834,1649.089931,0.0

2.501915,834,1659.87142,0.0

2.101377,834,1670.656904,0.0

1.469573,834,1681.493386,0.0

1.93593,834,1692.248873,0.0

1.763891,834,1703.108807,0.0

1.998695,834,1713.933293,0.0

2.316833,834,1724.77577,0.0

1.885917,834,1735.644254,0.0

2.004173,834,1746.488736,0.0

2.444107,834,1757.456208,0.0

2.089414,834,1768.269692,0.0

1.810719,834,1779.111177,0.0

2.068256,834,1789.927757,0.0

2.708628,834,1801.13712,0.0

2.274313,834,1812.0836,0.0

1.901554,834,1823.309064,0.0

2.240037,834,1834.056551,0.0

2.09909,834,1844.992028,0.0

1.994829,834,1856.072497,0.0

1.769613,834,1866.934978,0.0

2.251585,834,1877.838458,0.0

1.942096,834,1888.652939,0.0

1.888917,834,1899.438428,0.0

1.988533,834,1910.215906,0.0

1.650692,834,1921.323869,0.0

1.914419,834,1933.602286,0.0

