policy_loss:0.0042510605,value_loss:0.033262603,policy_entropy:13.378799,approxkl:0.038650945,clipfrac:0.39479166,
policy_loss:-0.0031026488,value_loss:0.03235901,policy_entropy:13.397426,approxkl:0.036868285,clipfrac:0.3837499,
policy_loss:-0.006650845,value_loss:0.017409496,policy_entropy:13.426851,approxkl:0.03174277,clipfrac:0.37749988,
policy_loss:-0.0029659076,value_loss:0.014162531,policy_entropy:13.455844,approxkl:0.029347274,clipfrac:0.3539583,
policy_loss:0.0011074061,value_loss:0.016555894,policy_entropy:13.469271,approxkl:0.031470373,clipfrac:0.3554167,
policy_loss:0.002007033,value_loss:0.012436354,policy_entropy:13.471153,approxkl:0.03142888,clipfrac:0.37395817,
policy_loss:-0.008188182,value_loss:0.013308352,policy_entropy:13.466784,approxkl:0.029783538,clipfrac:0.36687487,
policy_loss:-0.0042859185,value_loss:0.011263086,policy_entropy:13.464758,approxkl:0.029763695,clipfrac:0.3608333,
policy_loss:-0.0032468059,value_loss:0.009194201,policy_entropy:13.483464,approxkl:0.03517079,clipfrac:0.38770825,
policy_loss:-0.0034621053,value_loss:0.008663409,policy_entropy:13.499306,approxkl:0.027443912,clipfrac:0.35291666,
policy_loss:0.003222606,value_loss:0.008486541,policy_entropy:13.509638,approxkl:0.030393574,clipfrac:0.37541652,
policy_loss:-0.0044127395,value_loss:0.0077642323,policy_entropy:13.519633,approxkl:0.029660055,clipfrac:0.35520828,
policy_loss:2.0633079e-05,value_loss:0.008929997,policy_entropy:13.52791,approxkl:0.036009353,clipfrac:0.39145827,
policy_loss:-0.0071546673,value_loss:0.012644534,policy_entropy:13.536405,approxkl:0.029674277,clipfrac:0.35812503,
policy_loss:0.006862654,value_loss:0.02320202,policy_entropy:13.551501,approxkl:0.0500064,clipfrac:0.42354164,
policy_loss:0.0014303746,value_loss:0.018028583,policy_entropy:13.57589,approxkl:0.035079006,clipfrac:0.38791665,
policy_loss:0.004448025,value_loss:0.010517525,policy_entropy:13.592276,approxkl:0.023980381,clipfrac:0.30979162,
policy_loss:-0.00062422466,value_loss:0.00905464,policy_entropy:13.604192,approxkl:0.027771953,clipfrac:0.32604164,
policy_loss:-0.0032396577,value_loss:0.01204379,policy_entropy:13.609492,approxkl:0.03081558,clipfrac:0.33124992,
