#{"t_start": 1659557965.9490256, "env_id": null}
r,l,t,fractional_success
0.950635,834,17.344295,0.0
1.07331,834,36.524831,0.0
0.931547,834,56.786926,0.0
1.077541,834,75.4666,0.0
1.208258,834,93.472336,0.0
1.069741,834,111.655574,0.0
1.218722,834,130.401685,0.0
1.16429,834,150.10705,0.0
1.369145,834,169.355339,0.0
1.290429,834,189.004433,0.0
0.786216,834,208.116645,0.0
1.116357,834,226.027934,0.0
1.00708,834,244.447412,0.0
1.306462,834,263.060295,0.0
0.824535,834,282.802399,0.0
1.18763,834,301.684807,0.0
1.297299,834,321.488241,0.0
1.069704,834,340.302294,0.0
1.135435,834,360.042704,0.0
0.948968,834,378.424547,0.0
1.209021,834,397.192107,0.0
1.662148,834,418.313478,0.0
1.523489,834,436.770902,0.0
0.963086,834,454.970614,0.0
1.619467,834,474.350311,0.0
1.532008,834,493.536895,0.0
1.396352,834,513.026431,0.0
1.461555,834,532.148713,0.0
1.5102,834,551.793467,0.0
1.385217,834,569.478232,0.0
1.517366,834,587.792048,0.0
1.500082,834,608.60906,0.0
1.505517,834,627.636601,0.0
1.389683,834,645.993334,0.0
1.277164,834,664.009391,0.0
1.400993,834,682.282781,0.0
1.479242,834,700.637202,0.0
1.453386,834,718.748965,0.0
1.463583,834,737.206434,0.0
1.436876,834,754.985556,0.0
1.360954,834,773.320854,0.0
1.265288,834,790.563144,0.0
1.297344,834,808.93432,0.0
1.627669,834,827.301886,0.0
1.672402,834,845.745782,0.0
1.969416,834,864.049007,0.0
2.267719,834,882.348079,0.0
1.443334,834,899.767547,0.0
1.421312,834,918.090421,0.0
1.118824,834,936.28835,0.0
1.680449,834,954.134702,0.0
1.525982,834,971.875926,0.0
1.754585,834,989.791861,0.0
1.665264,834,1007.596974,0.0
1.780659,834,1027.014751,0.0
1.227791,834,1045.299651,0.0
1.680018,834,1064.666437,0.0
1.651034,834,1083.032568,0.0
1.735242,834,1101.716261,0.0
1.749139,834,1119.043204,0.0
1.982874,834,1136.916421,0.0
1.957863,834,1155.42254,0.0
1.949608,834,1173.395672,0.0
1.397817,834,1192.281842,0.0
1.789238,834,1211.061582,0.0
1.31293,834,1228.46104,0.0
1.375719,834,1245.00713,0.0
1.54627,834,1261.475102,0.0
1.393495,834,1277.646574,0.0
1.685864,834,1293.364221,0.0
1.673076,834,1310.085334,0.0
1.642735,834,1325.762958,0.0
1.333956,834,1342.027814,0.0
1.528766,834,1358.527036,0.0
1.250356,834,1375.260669,0.0
1.16322,834,1391.666073,0.0
1.246755,834,1407.837183,0.0
1.737272,834,1423.758304,0.0
1.762519,834,1440.02628,0.0
1.676444,834,1456.384883,0.0
1.814466,834,1472.493495,0.0
1.774726,834,1488.961463,0.0
1.838046,834,1505.648175,0.0
1.769609,834,1521.78804,0.0
1.328463,834,1538.287259,0.0
1.638775,834,1554.69273,0.0
1.178047,834,1571.191949,0.0
1.696744,834,1587.5818,0.0
1.804248,834,1605.455957,0.0
1.324403,834,1620.752108,0.0
1.751111,834,1637.876316,0.0
1.743442,834,1655.141106,0.0
1.848385,834,1671.796568,0.0
1.82017,834,1688.655139,0.0
1.75333,834,1705.310596,0.0
1.628915,834,1721.419209,0.0
1.941114,834,1738.202783,0.0
1.878043,834,1754.858244,0.0
1.205093,834,1771.857441,0.0
1.214589,834,1788.060128,0.0
1.228713,834,1804.605896,0.0
1.285538,834,1820.777002,0.0
1.373163,834,1837.088731,0.0
1.246548,834,1853.853561,0.0
1.236651,834,1870.462151,0.0
1.288786,834,1887.476974,0.0
1.709508,834,1904.069938,0.0
1.791287,834,1920.116055,0.0
1.356861,834,1936.929819,0.0
1.539672,834,1953.304043,0.0
1.480603,834,1970.148449,0.0
1.282373,834,1987.132029,0.0
1.597015,834,2004.428081,0.0
1.76592,834,2020.78668,0.0
1.626371,834,2037.692131,0.0
1.669421,834,2054.894442,0.0
1.563669,834,2071.549903,0.0
1.737847,834,2088.392859,0.0
1.679328,834,2105.032695,0.0
1.715609,834,2121.391298,0.0
1.457396,834,2138.109257,0.0
1.72285,834,2155.010468,0.0
1.308735,834,2171.931541,0.0
2.022187,834,2188.961989,0.0
1.441836,834,2206.133048,0.0
1.457704,834,2223.058578,0.0
1.783338,834,2241.178536,0.0
1.559065,834,2258.148473,0.0
1.823908,834,2275.616398,0.0
1.541955,834,2292.303107,0.0
1.557297,834,2309.833528,0.0
1.506452,834,2326.00464,0.0
1.570388,834,2342.51948,0.0
1.855331,834,2359.206193,0.0
1.994656,834,2375.814782,0.0
1.706346,834,2392.720233,0.0
1.733547,834,2409.797552,0.0
1.671451,834,2426.046782,0.0
2.047903,834,2442.561628,0.0
1.756179,834,2459.326458,0.0
1.250548,834,2476.138162,0.0
1.716717,834,2492.91862,0.0
1.478089,834,2509.79282,0.0
1.610395,834,2526.542029,0.0
1.58716,834,2543.150617,0.0
1.582989,834,2560.431051,0.0
1.47684,834,2577.430245,0.0
1.798787,834,2594.999591,0.0
1.783303,834,2612.061286,0.0
1.727129,834,2628.044905,0.0
1.813322,834,2644.637869,0.0
1.776749,834,2661.746439,0.0
1.888484,834,2678.995621,0.0
1.646774,834,2696.588541,0.0
1.239485,834,2714.290944,0.0
1.466313,834,2731.196284,0.0
1.585256,834,2747.617381,0.0
1.767114,834,2764.647828,0.0
1.782094,834,2781.555198,0.0
1.623138,834,2798.413775,0.0
1.362133,834,2815.77233,0.0
1.541675,834,2832.834029,0.0
1.47674,834,2850.348825,0.0
1.501671,834,2867.926119,0.0
1.56568,834,2884.831568,0.0
1.386338,834,2902.018252,0.0
1.522211,834,2918.986202,0.0
1.480243,834,2936.252246,0.0
1.682421,834,2953.329565,0.0
1.412399,834,2971.250592,0.0
1.64551,834,2988.29666,0.0
1.835423,834,3005.467722,0.0
1.453253,834,3022.779407,0.0
1.721589,834,3039.622355,0.0
1.911571,834,3056.434063,0.0
1.656464,834,3074.198849,0.0
1.620382,834,3091.916759,0.0
1.890006,834,3108.93158,0.0
1.548383,834,3126.118267,0.0
1.538803,834,3142.959991,0.0
1.384067,834,3159.568581,0.0
1.333823,834,3176.442781,0.0
1.828999,834,3193.754463,0.0
1.913046,834,3211.019269,0.0
1.839697,834,3228.565317,0.0
1.903481,834,3245.647257,0.0
1.987568,834,3262.990189,0.0
1.895317,834,3280.911217,0.0
1.724866,834,3298.444835,0.0
1.99581,834,3316.178373,0.0
3.147297,834,3333.693168,0.941631780831503
1.832535,834,3351.161092,0.0
1.760276,834,3367.98842,0.0
2.068611,834,3385.409472,0.0
2.000415,834,3402.502414,0.0
1.717188,834,3419.6891,0.0
2.112434,834,3437.11015,0.0
1.884337,834,3454.687459,0.0
2.046893,834,3472.045997,0.0
1.997893,834,3489.10769,0.0
1.884138,834,3506.528745,0.0
2.06066,834,3523.699806,0.0
1.921734,834,3541.370862,0.0
1.613757,834,3558.810156,0.0
1.383224,834,3575.387498,0.0
1.563589,834,3592.386694,0.0
1.50299,834,3609.448386,0.0
1.707354,834,3627.072553,0.0
1.506784,834,3644.290489,0.0
1.811399,834,3660.852204,0.0
1.680425,834,3677.445174,0.0
1.625939,834,3693.835018,0.0
1.595783,834,3710.599853,0.0
1.505541,834,3727.411557,0.0
1.673626,834,3744.660742,0.0
1.879706,834,3761.644316,0.0
1.542772,834,3778.215531,0.0
1.684813,834,3795.792828,0.0
1.650987,834,3813.151408,0.0
2.040645,834,3830.119335,0.0
1.877158,834,3847.649755,0.0
2.3937,834,3864.820086,0.0
1.908561,834,3881.741164,0.0
1.772058,834,3898.835268,0.0
1.598235,834,3916.615679,0.0
