r,l,t,fractional_success

-1.370255,834,4.595785,0.0

-2.281054,834,16.049257,0.0

-0.927425,834,27.212126,0.0

-1.475937,834,38.614642,0.0

-1.367067,834,49.544136,0.0

-1.881007,834,59.979653,0.0

-0.956579,834,70.492164,0.0

-1.951546,834,81.432181,0.0

-0.927105,834,92.21368,0.0

-2.314717,834,103.954133,0.0

-1.546689,834,114.837151,0.0

-2.391785,834,125.545219,0.0

-0.769049,834,135.978735,0.0

-1.122805,834,146.28178,0.0

-0.833983,834,157.015336,0.0

0.417467,834,167.135866,0.0

0.49853,834,177.257389,0.0

0.956181,834,187.988817,0.0

0.574076,834,198.20709,0.0

0.7725,834,208.190999,0.0

-0.681147,834,218.003044,0.0

-1.217681,834,227.533851,0.0

0.218473,834,237.486516,0.0

-0.946174,834,247.204815,0.0

-0.374873,834,256.907489,0.0

0.095069,834,266.703909,0.0

0.924268,834,276.640948,0.0

-0.130764,834,286.374872,0.0

0.927515,834,296.171292,0.0

1.274972,834,306.061459,0.0

-2.151987,834,315.920377,0.0

-0.569397,834,325.779293,0.030728540753900756

0.761407,834,335.716331,0.0

-2.035526,834,345.950232,0.0

-0.730046,834,355.777901,0.0

1.063201,834,365.777438,0.0

0.461805,834,375.714478,0.0

1.286397,834,385.651516,0.0

0.112971,834,395.354191,0.0

-1.516014,834,405.213109,0.0

-0.63333,834,415.290766,0.0

1.499502,834,425.602785,0.0

-1.626573,834,435.555451,0.0

-1.759403,834,445.820601,0.0

-0.557135,834,455.851384,0.0

-1.392417,834,465.819669,0.0

-0.958406,834,475.991073,0.0

-0.245224,834,486.162476,0.0

1.136531,834,496.255759,0.0

-1.190557,834,506.364664,0.0

7.662478,834,516.067339,0.6701261417195546

1.220125,834,525.707516,0.0

0.606254,834,535.941418,0.0

-0.051301,834,546.050323,0.0

-1.926985,834,556.252975,0.0

0.242971,834,566.518123,0.0

-1.622687,834,576.705151,0.0

0.68742,834,586.782808,0.0

0.749351,834,596.751098,0.0

0.740571,834,607.563096,0.0

0.942766,834,618.73445,0.0

-0.223297,834,628.812109,0.0

-0.149313,834,638.874141,0.0

-0.121964,834,649.170539,0.0

0.882364,834,659.310693,0.0

1.187783,834,669.4196,0.0

0.858493,834,679.731621,0.0

0.747415,834,690.215507,0.0

1.957622,834,700.496281,0.0

0.318652,834,710.605188,0.0

0.185785,834,720.948456,0.0

0.885761,834,730.947996,0.0

1.25258,834,741.416258,0.0

1.56352,834,751.83765,0.0

0.243767,834,762.134048,0.0

1.04978,834,772.352323,0.0

0.64831,834,782.664345,0.0

1.460015,834,793.007611,0.0

1.322049,834,803.194643,0.0

1.517492,834,813.881644,0.0

0.489174,834,824.209292,0.0

1.417449,834,834.661932,0.0

1.163911,834,845.0052,0.0

1.612777,834,855.48909,0.0

1.082874,834,866.097972,0.0

1.359626,834,876.472496,0.0

1.57081,834,887.003253,0.0

1.384628,834,897.362151,0.0

1.650811,834,907.86166,0.0

1.418695,834,918.236181,0.0

0.961992,834,928.845063,0.0

1.475159,834,939.469569,0.0

1.75793,834,950.437808,0.0

1.454984,834,960.984194,0.0

0.849517,834,971.514956,0.0

1.244093,834,982.248832,0.0

1.099156,834,992.998334,0.0

0.90083,834,1003.544719,0.0

0.764397,834,1013.997361,0.0

0.873284,834,1024.684363,0.0

-0.015349,834,1035.386997,0.0

1.635015,834,1046.136493,0.0

0.683963,834,1056.698504,0.0

0.361166,834,1067.557374,0.0

1.538967,834,1078.400623,0.0

1.685076,834,1089.087628,0.0

1.664602,834,1099.696509,0.0

1.724169,834,1113.134112,0.0

1.559997,834,1124.463746,0.0

1.83846,834,1136.012048,0.0

1.640047,834,1147.30353,0.0

0.892051,834,1158.6648,0.0

1.580152,834,1170.715717,0.0

1.599289,834,1181.986977,0.0

1.408,834,1193.249198,0.0

1.580062,834,1204.469892,0.0

1.023281,834,1216.331423,0.0

1.460861,834,1228.365089,0.0

2.120452,834,1240.550803,0.0

1.400908,834,1251.949407,0.0

1.989978,834,1263.854185,0.0

1.955912,834,1275.067367,0.0

1.583779,834,1286.760478,0.0

1.623896,834,1297.932666,0.0

1.832757,834,1308.729776,0.0

1.398428,834,1320.030246,0.0

1.56346,834,1332.041451,0.0

1.790225,834,1344.000599,0.0

1.595975,834,1355.5088,0.0

1.861984,834,1367.056699,0.0

1.364441,834,1378.440257,0.0

1.410612,834,1389.844994,0.0

1.706859,834,1401.234311,0.0

1.69143,834,1412.543594,0.0

1.460036,834,1423.75288,0.0

1.632129,834,1434.725442,0.0

0.887195,834,1445.993743,0.0

1.768465,834,1457.610323,0.0

1.820971,834,1468.622979,0.0

1.762885,834,1480.328633,0.0

1.772877,834,1491.182881,0.0

1.61396,834,1502.332494,0.0

1.712969,834,1513.755065,0.0

1.673245,834,1526.19005,0.0

1.615182,834,1537.697372,0.0

1.73179,834,1549.141366,0.0

1.977258,834,1562.025099,0.0

1.449561,834,1574.241068,0.0

1.671601,834,1585.683181,0.0

1.768193,834,1596.901525,0.0

1.669505,834,1607.537522,0.0

1.782736,834,1618.089329,0.0

1.487943,834,1629.224993,0.0

0.07581,834,1640.42701,0.0

1.578666,834,1651.413742,0.0

1.595994,834,1663.350688,0.0

2.162247,834,1674.596342,0.0

0.705802,834,1685.552526,0.0

0.412747,834,1696.418861,0.0

1.445762,834,1707.217382,0.0

1.739886,834,1719.357525,0.0

2.133095,834,1730.356001,0.0

1.72585,834,1741.436429,0.0

2.055931,834,1752.484969,0.0

1.66535,834,1763.419611,0.0

1.772946,834,1774.394786,0.0

1.957614,834,1785.532773,0.0

